Name,IATA,ICAO,Callsign,Country,Active
1Time Airline,1T,RNX,NEXTIME,South Africa,Y
40-Mile Air,Q5,MLA,MILE-AIR,United States,Y
Ansett Australia,AN,AAA,ANSETT,Australia,Y
Abelag Aviation,W9,AAB,ABG,Belgium,N
Aigle Azur,ZI,AAF,AIGLE AZUR,France,Y
Aloha Airlines,AQ,AAH,ALOHA,United States,Y
American Airlines,AA,AAL,AMERICAN,United States,Y
Asiana Airlines,OZ,AAR,ASIANA,Republic of Korea,Y
Askari Aviation,4K,AAS,AL-AAS,Pakistan,Y
Afriqiyah Airways,8U,AAW,AFRIQIYAH,Libya,Y
Afrinat International Airlines,Q9,AFU,,Gambia,N
Allegiant Air,G4,AAY,ALLEGIANT,United States,Y
Aban Air,K5,ABE,ABAN,Iran,n
ABSA - Aerolinhas Brasileiras,M3,TUS,ABSA Cargo,Brazil,Y
Antrak Air,4,ABV,ANTRAK,Ghana,N
Airborne Express,GB,ABX,ABEX,United States,N
ABX Air,GB,ABX,ABEX,United States,N
Astral Aviation,8V,ACP,ASTRAL CARGO,Kenya,Y
Aero Asia International,E4,RSO,AERO ASIA,Pakistan,N
Air Togo,YT,TGA,AIR TOGO,Togo,N
Ada Air,ZY,ADE,ADA AIR,Albania,Y
ADC Airlines,Z7,ADK,ADCO,Nigeria,N
Adria Airways,JP,ADR,ADRIA,Slovenia,Y
Air Europa,UX,AEA,EUROPA,Spain,Y
Aero Benin,EM,AEB,AEROBEN,Benin,Y
Aegean Airlines,A3,AEE,AEGEAN,Greece,Y
Air Atlantique,KI,AAG,ATLANTIC,United Kingdom,N
Air Europe,PE,AEL,AIR EUROPE,Italy,Y
Alaska Central Express,KO,AER,ACE AIR,United States,Y
Astraeus,5W,AEU,FLYSTAR,United Kingdom,Y
Aerosvit Airlines,VV,AEW,AEROSVIT,Ukraine,Y
Air Italy,I9,AEY,AIR ITALY,Italy,Y
American Falcon,WK,AFB,AMERICAN FALCON,Argentina,N
Alliance Airlines,QQ,UTY,UNITY,Australia,Y
Ariana Afghan Airlines,FG,AFG,ARIANA,Afghanistan,Y
Aeroflot Russian Airlines,SU,AFL,AEROFLOT,Russia,Y
Air Bosna,JA,BON,AIR BOSNA,Bosnia and Herzegovina,Y
Air France,AF,AFR,AIRFRANS,France,Y
Air Caledonie International,SB,ACI,AIRCALIN,France,Y
Air Gabon,GN,AGN,GOLF NOVEMBER,Gabon,N
Air Cargo Carriers,2Q,SNC,NIGHT CARGO,United States,Y
Air Senegal International,V7,SNG,AIR SENEGAL,Senegal,N
Air Namibia,SW,NMB,NAMIBIA,Namibia,Y
Air Service Gabon,G8,AGB,,Gabon,N
Aerolitoral,5D,SLI,COSTERA,Mexico,Y
Amadeus Global Travel Distribution,1A,AGT,AMADEUS,Spain,N
Air Glaciers,7T,AGV,AIR GLACIERS,Switzerland,Y
Aeroper,PL,PLI,Aeroperu,Peru,Y
Atlas Blue,8A,BMM,ATLAS BLUE,Morocco,Y
Air Alpha Greenland,GD,AHA,AIR ALPHA,Denmark,N
Air Hong Kong,LD,AHK,AIR HONG KONG,Hong Kong,N
Aeromist-Kharkiv,HT,AHW,AEROMIST,Ukraine,N
Azerbaijan Airlines,J2,AHY,AZAL,Azerbaijan,Y
Avies,U3,AIA,AVIES,Estonia,Y
Airbus Industrie,AP,AIB,AIRBUS INDUSTRIE,France,N
Alpine Air Express,5A,AIP,ALPINE AIR,United States,N
Airblue,ED,ABQ,PAKBLUE,Pakistan,Y
Air Berlin,AB,BER,AIR BERLIN,Germany,Y
Air Contractors,AG,ABR,CONTRACT,Ireland,N
Air India Limited,AI,AIC,AIRINDIA,India,Y
Air Bourbon,ZB,BUB,BOURBON,Reunion,Y
Air Atlanta Icelandic,CC,ABD,ATLANTA,Iceland,Y
Air Srpska,RB,SBK,Air Srpska,Bosnia and Herzegovina,N
Air Tahiti Nui,TN,THT,TAHITI AIRLINES,France,Y
Aero Services Executive,W4,BES,BIRD EXPRESS,France,N
Arkia Israel Airlines,IZ,AIZ,ARKIA,Israel,Y
Air Jamaica,JM,AJM,JAMAICA,Jamaica,Y
Air One,AP,ADH,HERON,Italy,Y
Air Sahara,S2,RSH,SAHARA,India,Y
Air Malta,KM,AMC,AIR MALTA,Malta,Y
Amerijet International,M6,AJT,AMERIJET,United States,N
Air Japan,NQ,AJX,AIR JAPAN,Japan,Y
Air Kiribati,4A,AKL,,Kiribati,Y
Air Nippon Network Co. Ltd.,EH,AKX,ALFA WING,Japan,N
America West Airlines,HP,AWE,CACTUS,United States,Y
Air Wisconsin,ZW,AWI,AIR WISCONSIN,United States,Y
Tatarstan Airlines,U9,TAK,TATARSTAN,Russia,Y
Air Lithuania,TT,KLA,KAUNAS,Lithuania,N
Air Malawi,QM,AML,MALAWI,Malawi,Y
Air Macau,NX,AMU,AIR MACAO,Macao,Y
Air Midwest,ZV,AMW,AIR MIDWEST,United States,N
Air Seychelles,HM,SEY,SEYCHELLES,Seychelles,Y
AeroMéxico,AM,AMX,AEROMEXICO,Mexico,Y
All Nippon Airways,NH,ANA,ALL NIPPON,Japan,Y
Air Nostrum,YW,ANE,AIR NOSTRUM,Spain,Y
Air Niugini,PX,ANG,NUIGINI,Papua New Guinea,Y
Air Arabia,G9,ABY,ARABIA,United Arab Emirates,Y
Air Canada,AC,ACA,AIR CANADA,Canada,Y
Air Baltic,BT,BTI,AIRBALTIC,Latvia,Y
Air Nippon,EL,ANK,ANK AIR,Japan,Y
Airnorth,TL,ANO,TOPEND,Australia,Y
Air North Charter - Canada,4N,ANT,AIR NORTH,Canada,Y
AOM French Airlines,IW,AOM,French Lines,France,N
Air New Zealand,NZ,ANZ,NEW ZEALAND,New Zealand,Y
AVCOM,J6,AOC,AERO AVCOM,Russia,N
Aero VIP,2D,AOG,AVIP,Argentina,N
Air Vegas,6V,VGA,AIR VEGAS,United States,N
Alitalia Express,XM,SMX,ALIEXPRESS,Italy,Y
Asia Overnight Express,OE,AOT,ASIA OVERNIGHT,Philippines,N
Aero Flight,GV,ARF,Aero Fox,Germany,Y
Arrow Air,JW,APW,BIG A,United States,Y
Arik Air,W3,ARA,ARIK AIR,Nigeria,N
Aerocondor,2B,ARD,AEROCONDOR,Portugal,Y
Aires,4C,ARE, Aerovias de Integracion Regional, S.A.,Y
Aerolineas Argentinas,AR,ARG,ARGENTINA,Argentina,Y
Air Armenia,QN,ARR,AIR ARMENIA,Armenia,N
Alaska Airlines,AS,ASA, Inc.,ALASKA,Y
Air Sinai,4D,ASD,AIR SINAI,Egypt,Y
Airstars,PL,ASE,MOROZOV,Russia,N
